DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
02/29/2020 12:00:00 AM,1,11,0
03-01-20 0:00,0,4,0
03-02-20 0:00,0,21,0
03-03-20 0:00,2,20,0
03-04-20 0:00,5,22,0
03-05-20 0:00,3,20,0
03-06-20 0:00,8,18,0
03-07-20 0:00,7,15,0
03-08-20 0:00,21,18,0
03-09-20 0:00,58,49,0
03-10-20 0:00,70,63,0
03-11-20 0:00,155,91,1
03-12-20 0:00,357,92,0
03/13/2020 12:00:00 AM,621,157,0
03/14/2020 12:00:00 AM,644,159,2
03/15/2020 12:00:00 AM,"1,037",189,5
03/16/2020 12:00:00 AM,"2,124",317,8
03/17/2020 12:00:00 AM,"2,455",359,8
03/18/2020 12:00:00 AM,"2,984",472,21
03/19/2020 12:00:00 AM,"3,715",558,24
03/20/2020 12:00:00 AM,"4,014",665,47
03/21/2020 12:00:00 AM,"2,640",700,44
03/22/2020 12:00:00 AM,"2,580",727,50
03/23/2020 12:00:00 AM,"3,572","1,036",82
03/24/2020 12:00:00 AM,"4,507","1,155",95
03/25/2020 12:00:00 AM,"4,865","1,303",123
03/26/2020 12:00:00 AM,"5,052","1,452",190
03/27/2020 12:00:00 AM,"5,133","1,393",218
03/28/2020 12:00:00 AM,"3,478","1,365",274
03/29/2020 12:00:00 AM,"3,562","1,408",292
03/30/2020 12:00:00 AM,"6,136","1,718",326
03/31/2020 12:00:00 AM,"5,473","1,697",384
04-01-20 0:00,"5,465","1,595",448
04-02-20 0:00,"5,770","1,618",499
04-03-20 0:00,"5,676","1,602",498
04-04-20 0:00,"3,870","1,345",510
04-05-20 0:00,"3,796","1,329",580
04-06-20 0:00,"6,378","1,723",576
04-07-20 0:00,"6,066","1,604",598
04-08-20 0:00,"5,592","1,541",569
04-09-20 0:00,"5,075","1,427",561
04-10-20 0:00,"4,520","1,337",539
04-11-20 0:00,"3,733","1,099",543
04-12-20 0:00,"2,890",995,573
04/13/2020 12:00:00 AM,"3,311","1,213",571
04/14/2020 12:00:00 AM,"4,148","1,088",512
04/15/2020 12:00:00 AM,"3,878",981,455
04/16/2020 12:00:00 AM,"3,530",883,414
04/17/2020 12:00:00 AM,"3,584",902,384
04/18/2020 12:00:00 AM,"2,173",665,392
04/19/2020 12:00:00 AM,"2,346",593,399
04/20/2020 12:00:00 AM,"3,794",725,364
04/21/2020 12:00:00 AM,"3,065",661,323
04/22/2020 12:00:00 AM,"3,462",599,312
04/23/2020 12:00:00 AM,"2,844",532,332
04/24/2020 12:00:00 AM,"2,538",550,316
04/25/2020 12:00:00 AM,"1,595",403,265
04/26/2020 12:00:00 AM,"1,003",375,247
04/27/2020 12:00:00 AM,"2,298",444,271
04/28/2020 12:00:00 AM,"2,731",445,228
04/29/2020 12:00:00 AM,"2,342",408,240
04/30/2020 12:00:00 AM,"2,024",345,223
05-01-20 0:00,"1,889",353,209
05-02-20 0:00,"1,060",261,192
05-03-20 0:00,785,256,178
05-04-20 0:00,"1,551",312,159
05-05-20 0:00,"1,513",283,151
05-06-20 0:00,"1,402",262,150
05-07-20 0:00,"1,235",259,142
05-08-20 0:00,"1,081",257,131
05-09-20 0:00,657,185,100
05-10-20 0:00,458,158,103
05-11-20 0:00,"1,233",247,103
05-12-20 0:00,"1,285",211,91
05/13/2020 12:00:00 AM,"1,337",230,83
05/14/2020 12:00:00 AM,"1,112",220,70
05/15/2020 12:00:00 AM,875,234,86
05/16/2020 12:00:00 AM,488,164,83
05/17/2020 12:00:00 AM,359,125,77
05/18/2020 12:00:00 AM,900,178,57
05/19/2020 12:00:00 AM,"1,004",205,54
05/20/2020 12:00:00 AM,"1,075",171,81
05/21/2020 12:00:00 AM,"1,072",174,45
05/22/2020 12:00:00 AM,"1,061",197,64
05/23/2020 12:00:00 AM,465,134,60
05/24/2020 12:00:00 AM,479,120,49
05/25/2020 12:00:00 AM,469,141,49
05/26/2020 12:00:00 AM,"1,055",153,37
05/27/2020 12:00:00 AM,751,161,49
05/28/2020 12:00:00 AM,639,140,38
05/29/2020 12:00:00 AM,645,170,43
05/30/2020 12:00:00 AM,349,99,54
05/31/2020 12:00:00 AM,217,90,39
06-01-20 0:00,665,124,34
06-02-20 0:00,575,124,38
06-03-20 0:00,516,116,42
06-04-20 0:00,513,90,32
06-05-20 0:00,409,65,28
06-06-20 0:00,248,46,35
06-07-20 0:00,199,48,24
06-08-20 0:00,445,62,41
06-09-20 0:00,422,51,34
06-10-20 0:00,365,45,31
06-11-20 0:00,359,41,21
06-12-20 0:00,412,55,23
06/13/2020 12:00:00 AM,197,28,14
06/14/2020 12:00:00 AM,184,43,24
06/15/2020 12:00:00 AM,379,49,20
06/16/2020 12:00:00 AM,425,50,19
06/17/2020 12:00:00 AM,356,41,20
06/18/2020 12:00:00 AM,371,39,17
06/19/2020 12:00:00 AM,361,41,17
06/20/2020 12:00:00 AM,205,26,19
06/21/2020 12:00:00 AM,176,34,28
06/22/2020 12:00:00 AM,394,44,25
06/23/2020 12:00:00 AM,382,42,27
06/24/2020 12:00:00 AM,383,37,25
06/25/2020 12:00:00 AM,297,37,19
06/26/2020 12:00:00 AM,313,34,20
06/27/2020 12:00:00 AM,209,37,21
06/28/2020 12:00:00 AM,201,31,19
06/29/2020 12:00:00 AM,438,38,25
06/30/2020 12:00:00 AM,446,37,24
07-01-20 0:00,398,29,12
07-02-20 0:00,413,30,25
07-03-20 0:00,230,22,24
07-04-20 0:00,119,22,14
07-05-20 0:00,154,24,17
07-06-20 0:00,437,43,17
07-07-20 0:00,462,41,13
07-08-20 0:00,438,33,20
07-09-20 0:00,392,42,10
07-10-20 0:00,311,35,10
07-11-20 0:00,255,30,13
07-12-20 0:00,222,18,11
07/13/2020 12:00:00 AM,480,46,17
07/14/2020 12:00:00 AM,398,32,10
07/15/2020 12:00:00 AM,435,26,14
07/16/2020 12:00:00 AM,411,31,10
07/17/2020 12:00:00 AM,418,48,14
07/18/2020 12:00:00 AM,217,29,11
07/19/2020 12:00:00 AM,174,32,7
07/20/2020 12:00:00 AM,394,32,11
07/21/2020 12:00:00 AM,337,22,12
07/22/2020 12:00:00 AM,326,31,8
07/23/2020 12:00:00 AM,301,31,9
07/24/2020 12:00:00 AM,301,34,6
07/25/2020 12:00:00 AM,153,29,11
07/26/2020 12:00:00 AM,138,19,8
07/27/2020 12:00:00 AM,320,42,5
07/28/2020 12:00:00 AM,309,35,12
07/29/2020 12:00:00 AM,287,23,5
07/30/2020 12:00:00 AM,268,31,4
07/31/2020 12:00:00 AM,259,25,4
08-01-20 0:00,186,21,8
08-02-20 0:00,136,28,2
08-03-20 0:00,352,30,3
08-04-20 0:00,189,32,5
08-05-20 0:00,310,27,7
08-06-20 0:00,309,33,4
08-07-20 0:00,263,19,5
08-08-20 0:00,161,17,5
08-09-20 0:00,131,25,3
08-10-20 0:00,293,27,6
08-11-20 0:00,242,17,6
08-12-20 0:00,290,25,2
08/13/2020 12:00:00 AM,237,30,2
08/14/2020 12:00:00 AM,197,32,1
08/15/2020 12:00:00 AM,90,22,4
08/16/2020 12:00:00 AM,73,16,3
08/17/2020 12:00:00 AM,67,2,0
08/18/2020 12:00:00 AM,14,0,0
